state_fips,state_abbreviation,year,actual_compliance,predicted_compliance
01,AL,2010,1.0029251984956093,
01,AL,2011,0.3124999999999995,
01,AL,2012,0.6850736973219842,
01,AL,2013,1.3038079470198642,
01,AL,2014,0.7018992568125503,
01,AL,2015,0.49433573635427347,
01,AL,2016,0.2671049928087113,
01,AL,2017,0.2460024600246,
01,AL,2018,0.3270645952575632,
01,AL,2019,0.468622656886715,0.33434712895305624
01,AL,2020,0.4172461752433932,0.4518335511847793
01,AL,2021,0.3366336633663366,0.3475581519267321
01,AL,2022,0.43332676777624524,0.3568915305447043
01,AL,2023,0.390777647518561,0.3448433366768784
01,AL,2024,1.0265349602944007,0.34788156650129276
02,AK,2010,40.19607843137255,
02,AK,2011,40.858725761772845,
02,AK,2012,51.84678522571819,
02,AK,2013,45.39295392953929,
02,AK,2014,44.91180461329714,
02,AK,2015,45.663956639566386,
02,AK,2016,51.81695827725437,
02,AK,2017,42.91497975708502,
02,AK,2018,39.4843962008141,
02,AK,2019,41.961852861035425,35.36927529095579
02,AK,2020,40.10914051841746,35.86006505600277
02,AK,2021,35.10204081632653,35.382431010249604
02,AK,2022,38.96457765667575,34.382267818603545
02,AK,2023,46.802721088435376,29.015016176222083
02,AK,2024,46.40434192672998,34.402161661515166
04,AZ,2010,8.459497424691731,
04,AZ,2011,5.345280395488942,
04,AZ,2012,6.223306894447825,
04,AZ,2013,4.9886963074604305,
04,AZ,2014,5.07945937917718,
04,AZ,2015,4.097760866383721,
04,AZ,2016,3.513318934485237,
04,AZ,2017,3.8024971623155426,
04,AZ,2018,3.2523729759910607,
04,AZ,2019,3.3049917718047137,2.4961458017561045
04,AZ,2020,4.007235285932929,3.102502392999335
04,AZ,2021,3.519384107781132,4.409497779944124
04,AZ,2022,4.206241519674344,3.2182624426621107
04,AZ,2023,3.717122920021464,3.018497378631008
04,AZ,2024,7.014293276866055,3.2267353829225334
05,AR,2010,7.18685831622176,
05,AR,2011,6.494389663379796,
05,AR,2012,6.942092786996269,
05,AR,2013,8.445945945945939,
05,AR,2014,7.7467160660154875,
05,AR,2015,9.261744966442945,
05,AR,2016,8.723262032085557,
05,AR,2017,6.258322237017309,
05,AR,2018,5.776892430278881,
05,AR,2019,6.421714664018536,5.106244013710106
05,AR,2020,7.067020570670206,6.183578011574248
05,AR,2021,4.823257350512055,5.818199063515081
05,AR,2022,3.249097472924187,4.428812779639367
05,AR,2023,5.863192182410421,3.213761648936521
05,AR,2024,6.912144702842375,3.9793048633935566
06,CA,2010,5.152733118971008,
06,CA,2011,5.16261026676581,
06,CA,2012,5.0441428383185745,
06,CA,2013,5.455638626025973,
06,CA,2014,5.499261409282843,
06,CA,2015,5.22311330454448,
06,CA,2016,4.005210861069242,
06,CA,2017,3.675835070415348,
06,CA,2018,3.2634328168978226,
06,CA,2019,3.1188194127491125,2.9641337263340777
06,CA,2020,2.5273224043715734,2.9760473199091737
06,CA,2021,2.5387582049906556,2.2974701226976992
06,CA,2022,2.456230031948857,2.4615869505934285
06,CA,2023,2.437343678219576,2.096406468985071
06,CA,2024,4.247427918201352,1.8671912430303281
08,CO,2010,5.269413629160056,
08,CO,2011,4.451386177274491,
08,CO,2012,2.984212552945702,
08,CO,2013,3.813318155947631,
08,CO,2014,4.801046142350083,
08,CO,2015,5.683901723505677,
08,CO,2016,6.0606060606060534,
08,CO,2017,6.818586434039511,
08,CO,2018,7.512725996138318,
08,CO,2019,7.259465092045843,7.706819192959457
08,CO,2020,6.704682909970612,8.154471664948835
08,CO,2021,6.604747162022693,6.477057904721507
08,CO,2022,7.876302750726121,6.0617196933448145
08,CO,2023,7.07036535859269,6.61562612195929
08,CO,2024,8.382033728502238,6.674302491524726
09,CT,2010,8.270466610785133,
09,CT,2011,9.250487601003064,
09,CT,2012,8.623087621696799,
09,CT,2013,6.979977753058941,
09,CT,2014,6.952169076751934,
09,CT,2015,6.96572861521315,
09,CT,2016,3.1564245810055835,
09,CT,2017,5.622377622377613,
09,CT,2018,4.839160839160831,
09,CT,2019,3.168816601233874,3.7338821067311683
09,CT,2020,3.240223463687147,2.960428158531504
09,CT,2021,2.965631929046561,2.883167217649267
09,CT,2022,4.172423321359485,2.4795892518358222
09,CT,2023,4.504257072232902,3.1277515875558453
09,CT,2024,12.54763200870982,3.039720357436396
10,DE,2010,7.555555555555555,
10,DE,2011,8.370044052863433,
10,DE,2012,9.279475982532746,
10,DE,2013,7.034632034632033,
10,DE,2014,6.002143622722398,
10,DE,2015,5.307855626326962,
10,DE,2016,1.9999999999999993,
10,DE,2017,1.148225469728601,
10,DE,2018,2.585315408479835,
10,DE,2019,1.2282497441146367,1.7136418180593451
10,DE,2020,1.512096774193548,1.0085154501618918
10,DE,2021,2.089552238805969,0.9419503421684204
10,DE,2022,1.176470588235294,1.1059559533948744
10,DE,2023,1.4492753623188406,1.0873685276530531
10,DE,2024,1.2380952380952377,0.901421387311339
11,DC,2010,0.8264462809917356,
11,DC,2011,0.1612903225806451,
11,DC,2012,0.6289308176100629,
11,DC,2013,0.9202453987730059,
11,DC,2014,0.6024096385542168,
11,DC,2015,0.7385524372230426,
11,DC,2016,0.5813953488372092,
11,DC,2017,0.4304160688665709,
11,DC,2018,0.284090909090909,
11,DC,2019,0.1412429378531073,0.24501474730168873
11,DC,2020,0.0,0.2123255540635419
11,DC,2021,0.1492537313432835,0.1619923127151133
11,DC,2022,0.1481481481481481,0.17120823881719238
11,DC,2023,0.1464128843338213,0.16840478618872007
11,DC,2024,0.5788712011577424,0.19343138197845994
12,FL,2010,2.15430330043509,
12,FL,2011,2.109571788413084,
12,FL,2012,1.782198735882274,
12,FL,2013,1.5445990180032658,
12,FL,2014,1.4002216178100062,
12,FL,2015,1.909095405311821,
12,FL,2016,0.9889950065448192,
12,FL,2017,0.7055346331696601,
12,FL,2018,0.7433545048223907,
12,FL,2019,0.8328680439233157,0.9283479310975927
12,FL,2020,1.0374693159186632,0.9913067052394672
12,FL,2021,0.8792416540733591,0.9054524315270296
12,FL,2022,0.9012224502543018,0.7888925117694319
12,FL,2023,0.7414191635047281,0.8005149641130044
12,FL,2024,0.7177856099028594,0.7459641077321774
13,GA,2010,2.3373146622734726,
13,GA,2011,1.2341901264789825,
13,GA,2012,1.3126009693053278,
13,GA,2013,1.613873295910178,
13,GA,2014,1.8170985999404194,
13,GA,2015,1.8756751448492528,
13,GA,2016,1.1738455568490447,
13,GA,2017,0.9311702025535155,
13,GA,2018,1.0742466013879608,
13,GA,2019,1.2325931501693617,0.8655197550851131
13,GA,2020,0.8851206559209894,1.1042295512250264
13,GA,2021,0.7412211618641692,0.7478655737447815
13,GA,2022,1.1527904849039334,0.6842351084538081
13,GA,2023,1.1569052783803295,0.8973292966252726
13,GA,2024,1.312031417350944,0.9161995391646327
15,HI,2010,0.5131964809384162,
15,HI,2011,0.8695652173913041,
15,HI,2012,0.0,
15,HI,2013,0.2838892831795596,
15,HI,2014,0.21201413427561838,
15,HI,2015,0.7027406886858745,
15,HI,2016,0.0699790062981105,
15,HI,2017,0.2103786816269284,
15,HI,2018,0.1405481377371748,
15,HI,2019,0.211864406779661,0.18498252967509143
15,HI,2020,0.344589937973811,0.23579412806603095
15,HI,2021,0.0691085003455425,0.14914382588524383
15,HI,2022,0.0695410292072322,0.14032048240902825
