state_fips,state_abbreviation,year,actual_drought,predicted_drought
01,AL,2010,15.303212898175088,
01,AL,2011,33.49193800770633,
01,AL,2012,25.88481341340669,
01,AL,2013,5.16333133452254,
01,AL,2014,8.129656563996921,
01,AL,2015,9.040757072778018,
01,AL,2016,25.35554035956058,
01,AL,2017,13.223973048192217,
01,AL,2018,8.644291379254408,
01,AL,2019,9.06250549766664,9.117604290652944
01,AL,2020,2.2233590101100216,2.4433842885344066
01,AL,2021,2.558297872802931,2.7759354600862713
01,AL,2022,8.71909997448454,8.725778438377164
01,AL,2023,16.662716466825135,16.211504588023104
01,AL,2024,19.731413109640368,19.824325398945984
02,AK,2010,6.647384394393121,
02,AK,2011,2.635423325259294,
02,AK,2012,3.639384483527814,
02,AK,2013,10.006567189135394,
02,AK,2014,0.9496292328632226,
02,AK,2015,7.339536729844699,
02,AK,2016,2.620678886356818,
02,AK,2017,3.833716230381347,
02,AK,2018,2.242998115843148,
02,AK,2019,4.745351037172912,4.985427120181711
02,AK,2020,1.6817201645575541,2.1346604690327196
02,AK,2021,2.9336295002945665,3.27772193891298
02,AK,2022,1.765893343946993,2.1298010525466795
02,AK,2023,0.3539419600049045,0.8306981252446258
02,AK,2024,0.5130832152051595,0.9857665788479915
04,AZ,2010,19.71152686905695,
04,AZ,2011,37.47276280402179,
04,AZ,2012,51.864719404107035,
04,AZ,2013,45.130709996168235,
04,AZ,2014,48.862521121310856,
04,AZ,2015,35.65111844287163,
04,AZ,2016,27.883724977057753,
04,AZ,2017,16.629724540858767,
04,AZ,2018,62.313909216687094,
04,AZ,2019,18.90577132245398,19.96308063107668
04,AZ,2020,38.749831061949095,37.57635528963335
04,AZ,2021,70.56241301087839,71.07639570757507
04,AZ,2022,43.471895778511744,43.3650091554904
04,AZ,2023,18.74060631799419,19.180605913995887
04,AZ,2024,27.75963768278397,27.899577638759077
05,AR,2010,16.877488920109233,
05,AR,2011,35.42369045945337,
05,AR,2012,36.45411935268905,
05,AR,2013,14.967227165833126,
05,AR,2014,5.4309941713124115,
05,AR,2015,9.256274558098351,
05,AR,2016,9.344716404713635,
05,AR,2017,17.517421691208423,
05,AR,2018,11.52561345995375,
05,AR,2019,1.6303813687995339,1.8425600518356349
05,AR,2020,2.296946965443872,2.335259149808701
05,AR,2021,5.798340386432486,6.193550854461146
05,AR,2022,25.56288328014982,25.004330742290126
05,AR,2023,8.972547831557758,9.151858325065811
05,AR,2024,14.069359567439133,14.638432285023729
06,CA,2010,7.875338971509634,
06,CA,2011,1.7996040441966146,
06,CA,2012,34.67398510079898,
06,CA,2013,48.72221060827615,
06,CA,2014,81.17430238882436,
06,CA,2015,81.07540118923484,
06,CA,2016,64.7447752235187,
06,CA,2017,10.391427730532875,
06,CA,2018,29.202484278194973,
06,CA,2019,6.283244600946597,7.8870702578912
06,CA,2020,29.405336484264016,28.748954155987082
06,CA,2021,74.85381338682254,74.42126996216274
06,CA,2022,67.205242277802,66.55803638878476
06,CA,2023,12.580120215902658,14.184366838820289
06,CA,2024,6.986703687421793,7.653065864243714
08,CO,2010,9.063053617288029,
08,CO,2011,23.154453047515315,
08,CO,2012,53.22824861982394,
08,CO,2013,53.678023484410716,
08,CO,2014,18.59864766032158,
08,CO,2015,11.705194782506814,
08,CO,2016,7.770684750202199,
08,CO,2017,9.939640459259694,
08,CO,2018,48.438362325701966,
08,CO,2019,18.425009789618045,19.110048138822254
08,CO,2020,50.51830747676108,49.16033450617764
08,CO,2021,49.13263896646719,49.14241565996247
08,CO,2022,42.018616007880716,41.76690469177231
08,CO,2023,14.31893513966256,14.856824164576548
08,CO,2024,12.438984604177245,12.975111582091015
09,CT,2010,5.930515496669302,
09,CT,2011,0.0,
09,CT,2012,13.833176030309449,
09,CT,2013,8.8261713271897,
09,CT,2014,10.338813095037066,
09,CT,2015,20.410158819054775,
09,CT,2016,34.09853618500535,
09,CT,2017,20.605480556848065,
09,CT,2018,1.5332418131049421,
09,CT,2019,1.546918803953854,1.7759812003534436
09,CT,2020,14.305488096200342,14.269485398144129
09,CT,2021,1.7918232422906433,2.5216164300524118
09,CT,2022,15.939545168500672,15.588489409578983
09,CT,2023,3.7541567643122353,4.386836817386646
09,CT,2024,10.68340767245903,9.626809341861062
10,DE,2010,5.923476799390672,
10,DE,2011,10.306268637809621,
10,DE,2012,27.427762674041496,
10,DE,2013,0.07700180525322008,
10,DE,2014,0.12249158061478169,
10,DE,2015,0.6392838893437212,
10,DE,2016,1.8444574799267994,
10,DE,2017,5.989455924152372,
10,DE,2018,1.9653823039908076,
10,DE,2019,4.509045081027125,4.620357080785343
10,DE,2020,1.375221499906844,2.0028993776386597
10,DE,2021,1.41938243868037,1.4631192928252088
10,DE,2022,5.28721549463087,6.354100463946465
10,DE,2023,4.212401662635926,4.945337149115402
10,DE,2024,19.374608331331228,18.132148265698007
11,DC,2010,3.7777307692307693,
11,DC,2011,7.577307692307692,
11,DC,2012,17.821269230769232,
11,DC,2013,1.8867924528301887,
11,DC,2014,0.0,
11,DC,2015,1.5384615384615385,
11,DC,2016,7.112576923076923,
11,DC,2017,22.240307692307695,
11,DC,2018,15.005769230769232,
11,DC,2019,5.835849056603774,6.2885225224045085
11,DC,2020,0.3591538461538461,0.9972670995272123
11,DC,2021,1.5384615384615385,1.8157364588517408
11,DC,2022,3.9063846153846153,4.688502109967745
11,DC,2023,15.85896153846154,15.532119338329021
11,DC,2024,20.10554716981132,18.903504713526313
12,FL,2010,10.357616410600981,
12,FL,2011,39.627021925664216,
12,FL,2012,26.19033882725194,
12,FL,2013,9.548981404034075,
12,FL,2014,2.7513425506504747,
12,FL,2015,6.823602993473719,
12,FL,2016,4.0398305016103615,
12,FL,2017,12.384260186284548,
12,FL,2018,6.651771663041712,
12,FL,2019,7.936162389337164,8.33386058754763
12,FL,2020,7.8554544632245955,8.294781483681325
12,FL,2021,3.575977332679567,4.108406438251233
12,FL,2022,9.653195484454468,9.818634176465828
